"Database name","Alternative name","Integbio Database Catalog ID",DOI,Creator,"Database classification","Database classification (Free style)",Organism,"Organism (Free style)","Database description","Features and manner of utilization of database","Background and funding","Background and funding (Free style)",Reference(s),"Database maintenance site","URL of the original website","Operation start date","Last update date","URL of the portal site","Whole data download","Referenced database","Entry list","Query search","Web services","URL of Web services","Need for user registration"
Metabolonote,,"nbdc01324
",10.18908/lsdba.nbdc01324-000,"""Nozomu Sakurai"",""Kazusa DNA Research Institute"",,,,200901100570339845,0
""Takeshi Ara"",""Kazusa DNA Research Institute"",200901083593941290,read0116102,,200901100349725323,0
""Mitsuo Enomoto"",""Kazusa DNA Research Institute"",,,,,0
",,"""Experimental Metadata (Materials and Methods)""
",,"whole organism","A database specified for managing information on experimental methods (metadata) which is accompanied with the experimental data obtained from metabolomics studies. This system aims to promote the publication and utilization of metabolomics data by simplifying the metadata record process.
Note: Archived data has been downloaded from the original site in 2016/5/18.","Separation of the management of metadata from that of experimental data has the following two advantages: (1) Multiple databases that stores experimental data can share the same metadata, and (2) the submitter can manage the metadata at one site. The Wiki-based recording system helps submitters to prepare metadata with ease. The system allowes submitters to attach additional information such as image files of the sample, movie files of tricky experiments, and hyperlinks to the related web resources. Such a user-centric design of the system contributes to accelarate publication of metabolomics data.","""This work is supported by the project of promotion of integration of life science databases by National Bioscience Database Center（NBDC）, Japan Science and Technology Agency （JST）."",201304029921302010,
",,"""Metabolonote: a wiki-based database for managing hierarchical metadata of metabolome analyses."",""Ara T, Enomoto M, Arita M, Ikeda C, Kera K, Yamada M, Nishioka T, Ikeda T, Nihei Y, Shibata D, Kanaya S and Sakurai N (2015)"",""Front Bioeng Biotechnol 3: 38"",25905099,
","Kazusa DNA Research Institute
2-6-7 Kazusa-kamatari, Kisarazu, Chiba, 292-0818, Japan","http://metabolonote.kazusa.or.jp/
",2012-12-28,2016-05-20,http://www.kazusa.or.jp/komics/,,"KOMICS
MassBase
KomicMarket
NEW KomicMarket Temporary Website
Bio-MassBank
MassBank
KNApSAcK Family",1,1,1,http://metabolonote.kazusa.or.jp/Help:Use_Data_From_External_System,
MicrobeDB.jp,,"NBDC01181
",10.18908/lsdba.nbdc01181-000.V002,"""Ken Kurokawa"",""Center for Information Biology, National Institute of Genetics"",200901090038088057,read0119484,,200901100451208317,1
""Yasukazu Nakamura"",""Center for Information Biology, National Institute of Genetics"",201001025273786718,yaskaz,,200901100313069420,0
""Ikuo Uchiyama"",""National Institute for Basic Biology"",200901081292717901,read0061570,,200901100476958892,0
""Hiroshi Mori"",""Center for Information Biology, National Institute of Genetics"",201601016277811550,himori,,201550000025436922,0
""Takatomo Fujisawa"",""Center for Information Biology, National Institute of Genetics"",201301018781550644,takatomo,,201550000165064448,0
""Hirokazu Chiba"",""National Institute for Basic Biology"",,,,201550000300011619,0
""Nozomi Yamamoto"",""School of Life Science, Tokyo Institute of Technology"",,,,,0
""Shinya Suzuki"",""School of Life Science, Tokyo Institute of Technology"",,,,,0
""Hiroyo Nishide"",""National Institute for Basic Biology"",,,,,0
",,"""Integrated database of microbiological""
","Archaea,2157
Bacteria,2
Fungi,4751
",,"MicrobeDB.jp is an integrated database of several microbiological datasets (e.g., genes, taxa, and environments) using semantic web technology with a gene/genome -centric approach.","MicrobeDB.jp version 2 (doi: 10.18908/lsdba.nbdc01181-000.V002) is an updated version of MicrobeDB.jp version 1 (doi: 10.18908/lsdba.nbdc01181-000.V001). Since version 1 contains microbial genome, ortholog, metagenome, and culture collection data that were obtained before 2013, we updated these data with reorganizing RDF data structures. Microbial environmental ontology and other ontologies were also updated. These ontologies were used for annotation of the data. The data format of MicrobeDB.jp version 2 are RDF and OWL. Users can use these data by (i) loading the data to Triplestore, and (ii) searching the data using SPARQL.",,"Database Integration Coordination Program, National Bioscience Database Center (NBDC), Japan Science and Technology Agency (JST).",,"National Institute of Technology","http://microbedb.jp/
",2012-12-12,2017-02-01,http://microbedb.jp/,,"NCBI RefSeq, INSDC GenBank, INSDC SRA, NBRC, JCM, NCBI BioProject, NCBI BioSample, NCBI Taxonomy, JGI GOLD, UniProt, PubMed",,1,,,
"Mouse Basement Membrane Bodymap",,"nbdc00574
",10.18908/lsdba.nbdc00574-000,"""Kiyotoshi Sekiguchi"",""Institute for Protein Research, Osaka University"",200901047247681811,read0054833,,200901100454736667,1
""Ko Tsutsui"",""RIKEN Center for Developmental Biology"",,,,200901100417896336,0
""Ri-ichiroh Manabe"",""RIKEN Center for Life Science Technologies"",,,,201550000272342043,0
","""Protein sequence databases - Protein localization and targeting""
","画像データベース
","""Mus musculus"",10090
",,"This is a database of body-wide localizations of basement membrane proteins in developing mouse embryos. The database consists of hundreds of high resolution virtual slides created from gigapixel digital images representing immunohistochemically stained whole mouse sagittal and head frontal sections and hematoxylin/eosin stained adjacent sections.","This database provides immunohistochemically stained virtual slides in which visitors can observe and compare expression patterns of 42 different ECM proteins in the interesting developing organs on the same platform with hematoxylin/eosin stained adjacent slides.",,"JST Exploratory Research for Advanced Technology (ERATO) SEKIGUCHI Biomatrix Signaling (2000-2005)","""Transcriptome-based systematic identification of extracellular matrix proteins."",""Manabe R, Tsutsui K, Yamada T, Kimura M, Nakano I, Shimono C, Sanzen N, Furutani Y, Fukuda T, Oguri Y, Shimamoto K, Kiyozumi D, Sato Y, Sado Y, Senoo H, Yamashina S, Fukuda S, Kawai J, Sugiura N, Kimata K, Hayashizaki Y, Sekiguchi K."",""Proc Natl Acad Sci U S A. 2008 Sep 2;105(35):12849-54. doi: 10.1073/pnas.0803640105. Epub 2008 Aug 29."",18757743,
","Japan Science and Technology Agency","http://dbarchive.biosciencedbc.jp/archive/matrixome/bm/home.html
",2008-08-18,2015-07-21,,,,1,1,,,
"NBDC NikkajiRDF","NBDC Japan Chemical Substance Dictionary (Nikkaji) RDF","nbdc01530
",10.18908/lsdba.nbdc01530-02-000.V008,"""Japan Science and Technology Agency (JST)"",,,,,,0
",,"""Chemical Database""
",,,"NBDC NikkajiRDF is RDF data of Japan Chemical Substance Dictionary (Nikkaji), which is one of the largest chemical substance databases in Japan.","NikkajiRDF is described by standard ontologies, such as Chemical Information Ontology (CHEMINF) and Semanticscience Integrated Ontology (SIO). Some contents, such as Canonical SMILES, are not contained in the original Nikkaji. The users can perform SPARQL search by uploading the downloaded RDF into their own triplesore. SPARQL search for NikkajiRDF can be done by using J-GLOBAL knowledge (https://stirdf.jglobal.jst.go.jp/).",,,"""Openness of Nikkaji RDF data and integration of chemical information by Nikkaji acting as a hub. (written in Japanese)"",""Takahiro KIMURA, Tatsuya KUSHIDA"",""Journal of Information Processing and Management Vol. 58 (2015) No. 3 p. 204-212. (http://doi.org/10.1241/johokanri.58.204)"",,201502280673286170
","Japan Science and Technology Agency (JST)","http://doi.org/10.18908/lsdba.nbdc01530-02-000
",2005-03-31,2018-05-18,,,"Japan Existing Chemical Data Base (JECDB)
Spectral Database for Organic Compounds (SDBS)
Polymer Database (PoLyInfo)
Kis-net (Written in Japanese)",,1,,,
"Nikkaji-InChI Mapping Table",,"nbdc01530
",10.18908/lsdba.nbdc01530-01-001.V004,"""Japan Science and Technology Agency (JST)"",,,,,,0
",,"""Chemical Database""
",,,"This is  mapping data of Nikkaji Number (chemical substances identifier), InChI, and InChIKey in Nikkaji (http://doi.org/10.15079/NIKKAJI) which is one of the largest chemical substances database in Japan.","InChI which was developed by IUPAC (International Union of Pure and Applied Chemistry) and NIST (National Institute of Standards and Technology) is a non-proprietary identifier for chemical substances. The InChIKey is a hashed version of the full InChI. Mapping between chemical database IDs may become easy by using InChI (InChIKey).",,,"""“Nikkaji Web” has been released."",""Yumiko TOMIKAWA, Mimiko KIMURA, Chikako MAEDA"",""Journal of Information Processing and Management Vol. 48 (2005) No. 4 p. 220-225. (http://doi.org/10.1241/johokanri.48.220)"",,200902296169308991
""Openness of Nikkaji RDF data and integration of chemical information by Nikkaji acting as a hub"",""Takahiro KIMURA, Tatsuya KUSHIDA"",""Journal of Information Processing and Management Vol. 58 (2015) No. 3 p. 204-212. (http://doi.org/10.1241/johokanri.58.204)"",,201502280673286170
","Japan Science and Technology Agency (JST)","http://doi.org/10.18908/lsdba.nbdc01530-01-000
",2005-03-31,2018-03-28,,,"Japan Existing Chemical Data Base (JECDB)
Spectral Database for Organic Compounds (SDBS)
Polymer Database (PoLyInfo)
Kis-net (Written in Japanese)",,1,,,
"Oligonucleic Acid Drug Database",,"NBDC02343
",10.18908/lsdba.nbdc02343-000.V002,"""Kazuhiko FUKUI"",""Molecular Profiling Research Center for Drug Discovery (molprof), The National Institute of Advanced Industrial Science and Technology (AIST)"",200901017295507576,read0120683,0000-0002-2482-848,200901100393125406,0
""Takayuki Amemiya"",""Molecular Profiling Research Center for Drug Discovery (molprof), The National Institute of Advanced Industrial Science and Technology (AIST)"",201301008288078388,7000006267,,201550000116922145,0
""Hiroshi Kouno"",""Molecular Profiling Research Center for Drug Discovery (molprof), The National Institute of Advanced Industrial Science and Technology (AIST) / Department of Applied Biological Science, Faculty of Science and Technology, Tokyo University of Science"",,,,,0
",,"""Nucleic Acid Drug""
",,,"DB is focused on nucleic acid drugs known as biopharmaceuticals and displayed approval drugs and information on three phases of clinical trial stage.","Clinical information of nucleic acid drugs is based from pharmaceutical companies and clinical information sites (https://clinicaltrials.gov/, https: //www.clinicaltrialsregister.eu/) . DB provides information on nucleic acid drugs that are being considered for future practical use (such as target diseases and related protein information).",,"Collaborative graduate school system",,"Molecular Profiling Research Center for Drug Discovery (molprof), The National Institute of Advanced Industrial Science and Technology (AIST)","https://medals.jp/druginfo.html
",2018-03-16,2018-04-18,https://medals.jp/,,"DrugBank, UniProt, PDB",1,,,,
"Open TG-GATEs",,"nbdc00954
",10.18908/lsdba.nbdc00954-01-000,"""Toxicogenomics Project / Toxicogenomics Informatics Project"",""National Institute of Biomedical Innovation, National Institute of Health Sciences, and 15 pharmaceutical companies"",,,,,0
",,"""Toxicogenomics Database""
","""Rattus norvegicus"",10116
""Homo sapiens"",9606
",,"Toxicogenomics Project (TGP) is a government-private companies collaborative project started by the National Institute of Biomedical, the National Institute of Health Sciences, and 15 pharmaceutical companies in 2002. After 5 years of the project, 150 chemicals were administered to rats or exposed to rat and human primary cultured hepatocytes, and the gene expression profiles in the liver and kidney of the animal or in the cultured cells were comprehensively analyzed by microarray. As a result, a high-quality large-scale toxicogenomics database with the systems to analyze the gene expression data and predict the safety of candidate chemicals has been developed (TG-GATEs: Toxicogenomics Project-Genomics Assisted Toxicity Evaluation system）.

Toxicogenomics Informatics Project (TGP2) is TGP's succeeding project, started by the National Institute of Biomedical, the National Institute of Health Sciences, and 13 pharmaceutical companies in 2007. After 5 years of the project, more than 30 safety biomarkers were develped by using TG-GATEs. In addition, data acquired to test biomarkers and analyse their mechanisms are included in TG-GATEs.

Open TG-GATEs is a toxicogenomics database open to the public for researchers to utilize research results of TGP and TGP2, and releases the data of 170 compounds stored in TG-GATEs. In Open TG-GATEs, it is possible to search toxicogenomics data by compound name or pathological finding. It is also possible to download gene expression data associated with phenotype data such as pathological findings as a CEL file.

CEL is one of the file formats that expresses gene expression data (raw data) generated from Affymetrix GeneChip?.","Searching toxicogenomics data by compound name or pathological finding.
Downloading gene expression data associated with phenotype data such as pathological findings as a CEL file.","""- Health and Labour Sciences Research Grant (H14-Toxico-001 and H19-Toxico-001)
- Collaborative research funds from participating companies."",200909096803808303,7
",,,"Toxicogenomics Informatics Project, National Institute of Biomedical Innovation","http://toxico.nibiohn.go.jp/
",2011-02-25,2012-01-18,http://wwwtgp.nibiohn.go.jp/,,,1,,,,
"Open TG-GATEs Pathological Image Database",,"nbdc00954
",10.18908/lsdba.nbdc00954-02-000,"""Toxicogenomics Project／Toxicogenomics Informatics Project"",""National Institute of Biomedical Innovation, National Institute of Health Sciences, and 15 pharmaceutical companies"",,,,,0
",,"""Toxicogenomics Database""
","""Rattus norvegicus"",10116
",,"On the pathological image database, over 53,000 high-resolution whole slide digital pathological images of liver and kidney pathological specimens are open to the public. The specimens were obtained through animal tests using 160 compounds registered on Open TG-GATEs database. Therefore, you can look into the pathological findings registered on Open TG-GATEs database, with the pathological images.
For further information on Open TG-GATEs database, please visit the LSDB archive website at http://dbarchive.biosciencedbc.jp/en/open-tggates/desc.html.","The pathological images can be viewed as zoomable digital slides.","""- Health and Labour Sciences Research Grant (H14-Toxico-001 and H19-Toxico-001)
- Collaborative research funds from participating companies."",200909096803808303,7
",,,"Toxicogenomics Informatics Project, National Institute of Biomedical Innovation","http://virtualslide.nibiohn.go.jp/Authenticate2.php
",2012-03-30,2012-03-30,http://wwwtgp.nibiohn.go.jp/,,,1,,,,
"PGDBj - Ortholog DB","Plant Genome Database Japan - Ortholog Database","nbdc01194
",10.18908/lsdba.nbdc01194-02-000.V002,"""Akihiro Nakaya"",""Osaka University"",201101032925418574,nakaya_akihiro,,201550000299995022,1
""Hisako Ichihara"",""Kazusa DNA Research Institute"",,,,201550000157748931,0
""Erika Asamizu"",""Ryukoku University"",200901002859396764,read0141555,,200901100462838746,0
""Hideki Hirakawa"",""Kazusa DNA Research Institute"",201501081279250007,kh15,,,0
""Yasukazu Nakamura"",""Kazusa DNA Research Institute"",201001025273786718,yaskaz,,200901100313069420,0
""Satoshi Tabata"",""Kazusa DNA Research Institute"",,,,200901100362040461,0
","""Protein sequence databases - Protein domain databases; protein classification""
",,"Viridiplantae,33090
Cyanobacteria,1117
",,"Orthology is a homologous relationship among genes derived from a common ancestor by speciation. Genes in such a relationship are referred to as orthologs or orthologous genes and provide important clues to clarify the process of genome evolution and to predict the divergence of gene function based on syntenic relationships among species. PGDBj Ortholog DB is a database that provides orthologous relationships of genes that are computationally determined according to similarities between amino acid sequences, and currently consists of 40 species of Viridiplantae (green plants) and 213 species of Cyanobacteria (blue-green algae).","PGDBj Ortholog DB is hierarchically organized to reflect evolutionary relationships among species and taxa. By connecting entries of multiple plant genome databases to this database, PGDBj Ortholog DB can work as a hub database and provide a way to gather and organize the relevant data in the databases. By submitting queries to the PGDBj Ortholog DB with keywords or amino acid sequences, users can obtain the list of the links to the relevant entries of the plant genome databases in relation to the functions and characteristics of genes across various species and taxa including both model plants and crop plants. Following the links obtained, users can retrieve the actual entries from the databases.","""This work has been supported by National Bioscience Database Center (NBDC) of Japan Science and Technology Agency (JST): Database Integration Coordination Program (FY2011-FY2013).
https://biosciencedbc.jp/en/tec-dev-prog/rdprog-over/rdprog-over-integ#005"",201304098487795099,
""This work has been supported by National Bioscience Database Center (NBDC) of Japan Science and Technology Agency (JST): Plant Genome DataBase Japan (PGDBj) for integration of plant genome-related resources and information(FY2014-FY2016).
https://biosciencedbc.jp/en/tec-dev-prog/research-issue-in-progress/rdprog-over-integ-h24-26#005"",,
",,"""Plant Genome DataBase Japan (PGDBj): A Portal Website for the Integration of Plant Genome-Related Databases"",""Erika Asamizu, Hisako Ichihara, Akihiro Nakaya, Yasukazu Nakamura, Hideki Hirakawa, Takahiro Ishii, Takuro Tamura, Kaoru Fukami-Kobayashi, Yukari Nakajima and Satoshi Tabata"",""Plant Cell Physiol (2014) 55 (1): e8."",24363285,
""Plant Genome DataBase Japan (PGDBj)."",""Akihiro Nakaya, Hisako Ichihara, Erika Asamizu, Shirasawa Sachiko, Yasukazu Nakamura, Satoshi Tabata and Hideki Hirakawa"",""Methods Mol Biol (2017) 1533: 45-77."",27987164,
","Kazusa DNA Research Institute","http://pgdbj.jp/pages/index.html?dir=&page=od&ln=en
",2012,2016,http://pgdbj.jp/index.html?ln=en,http://pgdbj.jp/od2/download_33090.html,"NCBI RefSeq, NCBI Taxonomy
Eucalyptus camaldulensis Genome Database
Jatropha Genome Database
Lotus japonicus Genome Sequencing Project
Tomato SBM Database
Trifolium pratense EST Index
Chlamydomonas reinhardtii EST Index
Lotus japonicus EST Index
Arabidopsis thaliana EST Index
Porphyra yezoensis EST Index
MiBASE Micro-Tom Database
The Rice Annotation Project Database (RAP-DB)
Rice TOGO Browser
The Rice Expression Profile Database (RiceXPro)
SALAD Database
The Arabidopsis Information Resource (TAIR)
RIKEN Arabidopsis Genome Encyclopedia (RARGE)
RIKEN Populus Database (RPOPDB)
Triticeae Full-Length CDS Database (TriFLDB)
KEGG/GENES
PHYSCObase",1,1,,,
"PGDBj Registered plant list, Marker list, QTL list, Plant DB link & Genome analysis methods","PGDBj Marker, Map and Basic Information","nbdc01194
",10.18908/lsdba.nbdc01194-01-000.V003,"""Taeko Shibaya"",""Kazusa DNA Research Institute"",,,,200901100620862358,0
""Hisako Ichihara"",""Osaka University"",200901085983169450,read0113129,,201550000157748931,0
""Sachiko Shirasawa"",""Kazusa DNA Research Institute"",,,,,0
""Erika Asamizu"",""Ryukoku University"",200901002859396764,read0141555,,200901100462838746,0
""Yasukazu Nakamura"",""Kazusa DNA Research Institute"",201001025273786718,yaskaz,0000-0002-6782-5715,200901100313069420,0
""Hideki Hirakawa"",""Kazusa DNA Research Institute"",201501081279250007,kh15,,201550000199155426,0
""Akihiro Nakaya"",""Osaka University"",201101032925418574,nakaya_akihiro,,201550000299995022,0
""Satoshi Tabata"",""Kazusa DNA Research Institute"",,,,200901100362040461,1
",,"""Plant Databases""
""Nucleotide Sequence Databases""
""Genomics Databases (non-vertabrate)""
""Database Catalog""
",,"80 plants, genome sequencing and DNA marker development of which are advanced. Especially 65 plants (mainly horticultural crop) are included in the DNA marker and the QTL list.","DNA marker and gene map are used for useful gene identification with gene analysis, genome structure comparison and application researches such as marker selective breeding and DNA fingerprinting. We have selected 65 plants (mainly horticultural crop) and aggregated and marshalled their DNA markers (65 plants), QTLs related with important agronomic trait and gene maps (45 plants) from articles and other databases. We published the results in this database. We have also aggregated, marshalled and published basic information, gene analysis method and links to related web sites about 80 plants.","Information of DNA markers and QTLs are curated manually from the published literature. The marker information includes marker sequences, genotyping methods, population and linkage map, and the results of population genetic analyses. The QTL information includes the genetic effects, chromosomal positions, and LOD scores. Website links are classified according to the content (e.g. Genome database and Expression database). User can search information about DNA marker, QTL, and website links by keywords such as marker name, agricultural trait, and classification of website links.","""Database Integration Coordination Program (FY2011-FY2013) """"Integration of plant databases based on genome information"""" : National Bioscience Database Center (NBDC) of Japan Science and Technology Agency (JST)"",201304098487795099,
""Database Integration Coordination Program (FY2014-FY2016) """"Plant Genome DataBase Japan (PGDBj) for integration of plant genome-related resources and information"""" : National Bioscience Database Center (NBDC) of Japan Science and Technology Agency (JST)"",,
",,"""Plant Genome DataBase Japan (PGDBj): A Portal Website for the Integration of Plant Genome-Related Databases"",""Erika Asamizu, Hisako Ichihara, Akihiro Nakaya, Yasukazu Nakamura, Hideki Hirakawa, Takahiro Ishii, Takuro Tamura, Kaoru Fukami-Kobayashi, Yukari Nakajima and Satoshi Tabata"",""Plant Cell Physiol (2014) 55 (1): e8"",24363285,
""Plant Genome DataBase Japan (PGDBj)"",""Akihiro Nakaya, Hisako Ichihara, Erika Asamizu, Shirasawa Sachiko, Yasukazu Nakamura, Satoshi Tabata and Hideki Hirakawa"",""Methods Mol Biol (2017) 1533: 45-77."",27987164,
","Kazusa DNA Research Institute","http://pgdbj.jp/pages/index.html?dir=&page=mk&ln=en
",2012,2017,http://pgdbj.jp/?ln=en,,,1,1,,,
"Plabrain DB","Planarian Brain Database","nbdc01108
",10.18908/lsdba.nbdc01108-000,"""Kiyokazu Agata"",""Kyoto University"",,,,,1
""Kaneyasu Nishimura"",""Kyoto University"",,,,,0
""Osamu Nishimura"",""Kyoto University"",,,,,0
""Tetsutaro Hayashi"",""RIKEN Center for Developmental Biology"",,,,,0
""Hiroshi Tarui"",""RIKEN Center for Developmental Biology"",,,,,0
","""Microarray Data and other Gene Expression Databases""
",,"""Dugesia japonica"",6161
",,"Plabrain DB is a database for planarian nervous system analysis, including results of the gene expression profiling of single cells, the gene expression analysis by whole-mount in situ hybridization and the analysis by Immunohistochemical staining. This is the first case to release the result of gene expression analysis at the single-cell resolution by semi-quantitative single-cell RT-PCR (FBSC-PCR) method using FACS (Fluorescence Activated Cell Sorting) .","Plabrain DB is featured by the unique method which combines the semi-quantitative single-cell RT-PCR with FACS to analyze gene expression in single neurons.
An article ""Planaria nervous system"" in Scholarpedia also provides information about this database.
Some planarian whole-mount in situ hybridization images related to this database are available at a website of JT Biohitory Research Hall (Japanese version only).",,"The method of gene expression profiling of single cells was developed by Dr. Kiyokazu Agata at RIKEN Center for Developmental Biology. 
Neural-specific gene analysis was supported by a Grant-in-Aid for Creative Scientific Research (Research Project Number: 17GS0318, Project Year: 2005-2009).","""Single-cell gene profiling utilizing FACS and its “index sorting” function for stem cell research"",""Tetsutaro Hayashi, Norito Shibata, Ryo Okumura, Tomomi Kudome, Osamu Nishimura, Hiroshi Tarui and Kiyokazu Agata"",""Dev Growth Differ., 52, 131-144 (2010)"",20078655,
""Analysis of motor function modulated by cholinergic neurons in planarian Dugesia japonica"",""Kaneyasu Nishimura, Yoshihisa Kitamura, Takashi Taniguchi and Kiyokazu Agata"",""Neuroscience, 168, 18-30 (2010)"",20338223,201102252506930285
""Planarians change their body size by maintaining a constant ratio of different cell types using stem cell system"",""Hiroyuki Takeda, Kaneyasu Nishimura and Kiyokazu Agata"",""Zoolog. Sci., 26, 805-813."",19968467,201002221648417593
""Characterization of tyramine beta-hydroxylase in planarian Dugesia japonica: Cloning and expression"",""Kaneyasu Nishimura, Yoshihisa Kitamura, Takeshi Inoue, Yoshihiko Umesono, Kanji Yoshimoto, Takashi Taniguchi and Kiyokazu Agata"",""Dev Growth Differ., 52, 131-144 (2010)"",20078655,201302233642258728
""Identification and distribution of tryptophan hydroxylase (TPH)-positive neurons in the planarian Dugesia japonica"",""Kaneyasu Nishimura, Yoshihisa Kitamura, Takeshi Inoue, Yoshihiko Umesono, Kanji Yoshimoto, Kosei Takeuchi, Takashi Taniguchi and Kiyokazu Agata"",""Neurosci. Res., 59, 101-106 (2007)"",17624455,200902251750412020
""Reconstruction of dopaminergic neural network and recovery of behavioral function in planarian regenerates"",""Kaneyasu Nishimura, Yoshihisa Kitamura, Takeshi Inoue, Yoshihiko Umesono, Shozo Sano, Kanji Yoshimoto, Masatoshi Inden, Kazuyuki Takata, Takashi Taniguchi, Shun Shimohama and Kiyokazu Agata"",""Dev. Neurobiol., 67, 1059-1078 (2007)"",17565705,201102241288440066
","Laboratory for Molecular Developmental Biology Department of Biophysics, Division of Biological Sciences, Graduate School of Science, Kyoto University",,,,,,,,,,,
PLACE,"A Database of Plant Cis-acting Regulatory DNA Elements","nbdc00168
",10.18908/lsdba.nbdc00168-000,"""Kenichi Higo"",""National Institute of Agrobiological Sciences"",,,,,0
","""Plant databases""
",,"Tracheophyta,58023
",,"PLACE is a database of motifs found in plant cis-acting regulatory DNA elements based on previously published reports on vascular plants including the variations that have been identified in these motifs in other genes or in other plant species in later publications. The database also contains brief descriptions of individual motifs, literatures with PubMed links, and the corresponding accession numbers in the DDBJ/EMBL/GenBank.","Background and objectives

A database of nucleotide sequence motifs found in plant cis-acting regulatory DNA elements (cis-elements) with tools for homology searches will be helpful in estimating the mode of gene regulation, regions involved in such regulation, and other pertinent regions in the DNA sequence. In order to provide a compilation of all reported cis-elements of higher plants, we constructed the PLACE database.

Features and manner

1. The cis-elements in this database including motif sequences, descriptions of major features, and references have been compiled by extensive survey of original literatures. Review articles on the regulatory regions of some plant genes were also used to obtain information on specific groups of motifs.
2. The documents of individual motifs can be accessed by keyword search using a browser.
3. The query sequence is searched by the Signal Scan program. The search can be initiated by copy and paste of the query sequence and the results are shown in a few seconds. The Signal Scan output is shown in one of three options:  a list of motifs in alphabetical order, a sequence map, and a list of motifs beginning at the 5' end of the query sequence.
4. The document contains information on the PubMed ID and the GenBank accession number with corresponding links.

Usefulness

Experimental evidence for each motif is described in the ‘Reference Criteria’ (RC) field. Users of this database must be aware that the motifs compiled here were not strictly examined on this premise. Therefore users are advised to refer to the original reports of individual motifs before using any of the results obtained for publication.","""Development of Advanced Bio-Technology [Next generation recombinant], 1998 (1996-1998)"",,
",,"""PLACE: A database on plant cis-acting regulatory DNA elements (A preliminary report)"",""Kenichi Higo*, Yoshihiro Ugawa and Masao Iwamoto"",""5th International Society for Plant Molecular Biology, 1997, Abst. #891"",,
""PLACE: a database of plant cis-acting regulatory DNA elements"",""Kenichi Higo*, Yoshihiro Ugawa, Masao Iwamoto and Hiromi Higo"",""Nucleic Acids Research, 1998, Vol.26, No.1 :358-359"",9399873,200902180323508143
""Plant cis-acting regulatory DNA elements (PLACE) database: 1999"",""Kenichi Higo*, Yoshihiro Ugawa, Masao Iwamoto and Tomoko Korenaga"",""Nucleic Acids Research, 1999, Vol.27, No.1 :297-300"",9847208,200902107129219646
","National Institute of Agrobiological Sciences","http://www.dna.affrc.go.jp/PLACE/
",1997-03-31,2007-01-08,http://agrid.dna.affrc.go.jp/cgi-bin/sogo.cgi?class=719&lang=en,,"PubMed
GenBank",,1,,,
PoSSuM,"Pocket Similarity Search using Multiple-Sketches","nbdc01144
",10.18908/lsdba.nbdc01144-000,"""Kentaro Tomii"",""Tokyo Waterfront, the National Institute of Advanced Industrial Science and Technology (AIST)"",200901021923630070,read0205789,,201550000300179005,1
","""Structure Databases - Small molecules""
",,,,"PoSSuM is a database for detecting similar small-molecule binding sites on proteins. We have provided a service named PoSSuM drug search, in which we selected 194 approved drug compounds retrieved from ChEMBL, and detected their known binding pockets and pockets that are similar to them.",,,"Japan Society for the Promotion of Science (JSPS) [KAKENHI 23500374]; Grants-in-Aid for Scientific Research [25430186 and 25293079]; Platform for Drug Discovery, Informatics, and Structural Life Science from the Ministry of Education, Culture, Sports, Science and Technology, Japan; Grants-in-Aid for Scientific Research from the Ministry of Health, Labour and Welfare","""PoSSuM v.2.0: data update and a new function for investigating ligand analogs and target proteins of small-molecule drugs."",""Ito J, Ikeda K, Yamada K, Mizuguchi K, Tomii K."",""Nucleic Acids Res. DB issue 2015;43:D392-8."",25404129,
""PoSSuM: a database of similar protein-ligand binding and putative pockets."",""Ito J, Tabei Y, Shimizu K, Tsuda K, Tomii K."",""Nucleic Acids Res. DB issue 2012;40:D541-8."",22135290,
""PDB-Scale analysis of known and putative ligand binding sites with structural sketches."",""Ito J, Tabei Y, Shimizu K, Tomii K, Tsuda K."",""Proteins 2011;80:747-63."",22113700,
""Single Versus Multiple Sorting for All Pairs Similarity Search."",""Tabei Y, Uno T, Sugiyama M, Tsuda K."",""The 2nd Asian Conference on Machine Learning (ACML2010) 2010."",0,
","Artificial Intelligence Research Center (AIRC), The National Institute of Advanced Industrial Science and Technology (AIST) (https://www.aist.go.jp/index_en.html)","http://possum.cbrc.jp/PoSSuM/index.html
",2011-11-01,2014-10-15,,,"PDB, UniProt, ChEMBL, EC, CATH, SCOPe, GO",1,1,,,
PSCDB,"Protein Structural Change DataBase","nbdc01636
",10.18908/lsdba.nbdc01636-000,"""Amemiya Takayuki"",""The Molecular Profiling Research Center for Drug Discovery (molprof), The National Institute of Advanced Industrial Science and Technology (AIST)"",201301008288078388,7000006267,,201550000116922145,0
""Motonori Ota"",""Nagoya University"",200901037264166160,read0102070,,201550000256508462,0
""Kidera Akinori"",""Yokohama City University"",200901093514214138,read0046933,,200901100461423933,0
","""Structure Databases - Protein structure""
",,,,"The purpose of this database is to represent the relationship between protein structural change and ligand binding. We classified protein structural changes into 7 classes, in terms of the ligand binding sites and the location where the dominant motion occurs.",,,,"""PSCDB: a database for protein structural change upon ligand binding."",""T. Amemiya, R. Koike, A. Kidera, and M. Ota."",""2012, Nucleic Acids Res., 40, D554-D558."",22080505,201102245216943042
","Graduate School of Information Science Nagoya University","http://idp1.force.cs.is.nagoya-u.ac.jp/pscdb/
",2011-11-13,2012-03-15,,,,1,,,,
